GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
humanized connexin 43 monoclonal antibody		11/20/2018	Treatment of acute spinal cord injury	Designated	Not FDA Approved for Orphan Indication	"AlaMab Therapeutics, Inc."
flunarizine		11/20/2018	Treatment of Alternating Hemiplegia	Designated	Not FDA Approved for Orphan Indication	"Xenon Pharmaceuticals, Inc."
"peptide-drug conjugate combining [(Tyr3,Cys8) octreotate amide] and N2'-deacetyl-N2'-(3-mercapto-1-oxopropyl) maytansine"		11/20/2018	Treatment of neuroendocrine tumors	Designated	Not FDA Approved for Orphan Indication	"Tarveda Therapeutics, Inc."
humanized anti-Globo H monoclonal antibody		11/20/2018	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"OBI Pharma USA, Inc."
hydromethylthionine mesylate		11/20/2018	Treatment of frontotemporal dementia	Designated	Not FDA Approved for Orphan Indication	TauRx Therapeutics Ltd
"8-bromo-2-(1-methylpiperidin-4-yl) amino)-4-(4-phenoxyphenyl) amino) pyrido[4,3-d] pyrimidin-5(6H)-one hydrochloride"		11/20/2018	Treatment of Acute Myeloid Leukemia	Designated	Not FDA Approved for Orphan Indication	Oscotec Inc.
humanized IgG1 antibody specifific for the AXL tyrosine kinase conjugated to monomethyl auristatin E		11/19/2018	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	BioAtla LLC
small molecule inhibitor of integrins avß6 and avß1		11/19/2018	Treatment of primary sclerosing cholangitis	Designated	Not FDA Approved for Orphan Indication	"Pliant Therapeutics, Inc."
ceramide		11/13/2018	Treatment of Pancreatic Cancer	Designated	Not FDA Approved for Orphan Indication	"Keystone Nano, Inc."
brentuximab vedotin		11/13/2018	Treatment of extranodal NK/T-cell lymphoma (ENKTL)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Seattle Genetics, Inc."
ipilimumab		11/7/2018	Treatment of small cell lung cancer	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Company
bomedemstat		11/7/2018	Treatment of essential thrombocythemia.	Designated	Not FDA Approved for Orphan Indication	"Merck & Co., Inc."
cannabidiol		11/5/2018	Prevention of ischemia/reperfusion Injury resulting from solid organ transplantation	Designated	Not FDA Approved for Orphan Indication	Revive Therapeutics Ltd.
Rose bengal disodium		11/2/2018	Treatment of Neuroblastoma	Designated	Not FDA Approved for Orphan Indication	"Provectus BioPharmaceuticals, Inc."
Diacerein		11/2/2018	Treatment of epidermolysis bullosa	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
human astrocytes derived from astrocyte progenitor cells originating from clincial-grade human embryonic stem cells		11/1/2018	Treatment of amyotrophic lateral sclerosis	Designated	Not FDA Approved for Orphan Indication	"Kadimastem, Ltd."
"N-[(2R)-2,3 dihydroxypropoxyl]-3,4 difluro-2 -[(2-fluoro-4-iodophenyl)amino] benzamide"		10/30/2018	Treatment of Neurofibromatosis type I	Designated	Not FDA Approved for Orphan Indication	"SpringWorks Therapeutics, Inc."
trimetazidine		10/30/2018	Treatment of dilated cardiomyopathy	Designated	Not FDA Approved for Orphan Indication	"Martin Pharmaceuticals, Inc."
autologous dendritic cells pulsed with hepatitis B virus antigens		10/25/2018	Treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	"Jiangsu Antae Biological Technology Co., Ltd."
"non-replicating, recombinant adeno-associated virus (AAV) serotype 9 (AAV9) vector containing an hCLN2 expression cassette encoding for the soluble lysosomal enzyme tripeptidyl peptidase I (TPP1)"		10/25/2018	Treatment of neuronal ceroid lipofuscinosis type 2 (CLN2) disease.	Designated	Not FDA Approved for Orphan Indication	REGENXBIO Inc. (REGENXBIO)
"5-Chloro-N-(3-cyclopropyl-5-(((3R,5S)-3,5-dimethylpiperazine-1-yl)methyl)phenyl)-4-(6-methyl-1H-indol-3-yl)pyrimidin-2-amine·monohydrate"		10/25/2018	Treatment of Acute Myeloid Leukemia	Designated	Not FDA Approved for Orphan Indication	Aptose Biosciences Inc.
"2-[3-(2-chloro-4-{[5-cyclopropyl-3-(2,6-dichlorophenyl)-1,2-oxazol-4-yl]methoxy}phenyl)-3-hydroxyazetidin-1-yl]pyridine-4-carboxylic acid¿2-amino-2-(hydroxymethyl)propane-1,3-diol (1/1)"		10/25/2018	Treatment of Primary Sclerosing Cholangitis (PSC)	Designated	Not FDA Approved for Orphan Indication	"Gilead Sciences, Inc."
humanized monoclonal antibody targeting interleukin-15		10/25/2018	Treatment of eosinophilic esophagitis	Designated	Not FDA Approved for Orphan Indication	CALYPSO BIOTECH BV
adipose-derived mesenchymal stem cells in a hydrogel sheet		10/25/2018	Treatment of Epidermolysis Bullosa	Designated	Not FDA Approved for Orphan Indication	"Anterogen Co., Ltd."
"(1R,2R)-1,2-cyclohexane-diaminepyrophosphato-platinum(II)"		10/25/2018	Treatment of thymoma and thymic carcinoma	Designated	Not FDA Approved for Orphan Indication	"Promontory Therapeutics, Inc."
human monoclonal antibody inhibitor of mannan binding lectin-associated serine protease-2 (MASP-2)		10/22/2018	Treatment of Hematopoietic Stem-Cell Transplant-Associated Thrombotic Microangiopathy	Designated	Not FDA Approved for Orphan Indication	Omeros Corporation
concizumab		10/22/2018	Treatment of hemophilia A	Designated	Not FDA Approved for Orphan Indication	"Novo Nordisk, Inc."
sargramostim		10/22/2018	Treatment of pulmonary alveolar proteinosis (PAP).	Designated	Not FDA Approved for Orphan Indication	"Partner Therapeutics, Inc."
melatonin		10/22/2018	Treatment of Acute Radiation Syndrome	Designated	Not FDA Approved for Orphan Indication	WORPHMED Srl
spartalizumab		10/18/2018	Treatment of Stage IIB-IV melanoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Novartis Pharmaceuticals Corporation
"[4-(4-{1-[2-(2-{2-[2-(2-{2-[2-(4-guanidinomethyl-phenoxy)-ethoxy]-ethoxy}-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethyl]-1H-[1,2,3]triazol-4-ylmethoxy}-3,5-diiodo-phenoxy)-3,5-diiodo-phenyl]-acetic acid"		10/17/2018	Treatment of neuroblastoma	Designated	Not FDA Approved for Orphan Indication	"NanoPharmaceuticals, LLC"
Humanized IgG-1 antibody targeting human transferrin receptor conjugated to human iduronate-2-sulfatase		10/15/2018	Treatment of Mucopolysaccharidosis Type II (MPS II) or Hunter Syndrome	Designated	Not FDA Approved for Orphan Indication	"JCR Pharmaceuticals Co., Ltd."
rilzabrutinib		10/15/2018	Treatment of immune thrombocytopenic purpura (ITP)	Designated	Not FDA Approved for Orphan Indication	Principia Biopharma Inc.
odevixibat	Bylvay	10/15/2018	Treatment of Alagille syndrome	Designated/Approved		"Ipsen Biopharmaceuticals, Inc."
recombinant lentivirus vector expressing the human phenylalanine hydroxylase (PAH) gene under control of a liver-specific promoter		10/15/2018	Treatment of Phenylketonuria	Designated	Not FDA Approved for Orphan Indication	American Gene Technologies International Inc.
reboxetine		10/15/2018	Treatment of narcolepsy	Designated	Not FDA Approved for Orphan Indication	"Axsome Therapeutics, Inc."
relacorilant		10/15/2018	Treatment of endogenous Cushing syndrome	Designated	Not FDA Approved for Orphan Indication	"Corcept Therapeutics, Inc."
heterodimeric fusion protein that binds to IL-1 beta consisting of human extracellular domain of IL1 receptor and a mutant Fc fragment of human IgG1 and part of human IL1 receptor accessory protein		10/15/2018	Treatment of Schnitzler Syndrome	Designated	Not FDA Approved for Orphan Indication	R-Pharm Overseas
Glucagon-Like Peptide 2 fused to hyFc		10/11/2018	Treatment of short bowel syndrome	Designated	Not FDA Approved for Orphan Indication	Genexine
N-[5-(6-fluoro-8-{[4-(2-hydroxypropan-2-yl) piperidin-1-yl]methyl}-2-morpholinoquinazolin-4-yl)-2-methoxypyridin-3-]methanesulfonamide		10/11/2018	Treatment of Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	Designated	Not FDA Approved for Orphan Indication	"Shanghai Yingli Pharmaceutical Co., Ltd."
Lead-212 DOTAMTATE		10/11/2018	Treatment of neuroendocrine tumors	Designated	Not FDA Approved for Orphan Indication	"RadioMedix, Inc."
Monoclonal antibody targeting CCL24		10/11/2018	Treatment of primary sclerosing cholangitis	Designated	Not FDA Approved for Orphan Indication	"ChemomAb, Ltd."
olaparib	Lynparza	10/11/2018	Treatment of pancreatic cancer	Designated/Approved		AstraZeneca Pharmaceuticals LP
mavorixafor	Xolremdi	10/10/2018	"Treatment of warts, hypogammaglobulinemia, infections, and myelokathexis (WHIM) syndrome"	Designated/Approved		"X4 Pharmaceuticals, Inc."
N-[5-(6-fluoro-8-{[4-(2-hydroxypropan-2-yl)piperidin-1-yl]methyl}-2-morpholinoquinazolin-4-yl)-2-methoxypyridin-3-yl]methanesulfonamide		10/10/2018	Treatment Follicular Lymphoma	Designated	Not FDA Approved for Orphan Indication	"Shanghai Yingli Pharmaceutical Co., Ltd."
antibody-drug conjugate comprised of a human aglycosylated anti-CD74 IgG1 antibody (SP7219) and two non-cleavable maytansinoid linker warheads		10/10/2018	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"Sutro Biopharma, Inc."
Indolino-benzodiazepine compound (sulfonated DGN549-C) conjugated to the humanized anti-CD123 monoclonal antibody (G4723A)		10/10/2018	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"ImmunoGen, Inc."
"6-(2-hydroxy-2-methylpropoxy)-4-(6-(6-((6-methoxypyridin-3-yl)methyl)-3,6-diazabicyclo[3.1.1]heptan-3-yl)pyridin-3-yl)pyrazolo[1,5-a]pyridine-3-carbonitrile"		10/10/2018	Treatment of pancreatic cancer.	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Loxo Oncology, Inc."
bispecific T-cell engager antibody with a single chain Fc moiety that binds to B cell maturation antigen surface receptor and CD3		10/10/2018	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Amgen Inc.
clervonafusp alfa		10/4/2018	Treatment of Pompe Disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Valerion Therapeutics, LLC"
spesolimab-sbzo	Spevigo	10/3/2018	Treatment of generalized pustular psoriasis	Designated/Approved		"Boehringer Ingelheim Pharmaceuticals, Inc. (BI)"
spesolimab-sbzo	Spevigo	10/3/2018	Treatment of generalized pustular psoriasis	Designated/Approved		"Boehringer Ingelheim Pharmaceuticals, Inc. (BI)"
"poly (acetyl, arginyl) glucosamine"		10/2/2018	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	"Synedgen, Inc."
N-Acetyl-Leucine		10/2/2018	Treatment of Ataxia Telangiectasia	Designated	Not FDA Approved for Orphan Indication	IntraBio Inc.
"3-(3-(3,5-Dimethyl-1H-pyrazol-4- yl)propoxy)-4-fluorobenzoic acid"		10/2/2018	Treatment of transthyretin amyloidosis	Designated	Not FDA Approved for Orphan Indication	"BridgeBio Pharma, Inc."
selexipag		10/2/2018	Treatment of Chronic Thromboembolic Pulmonary Hypertension	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Janssen Research & Development LLC
clenbuterol		10/2/2018	Treatment of amyotrophic lateral sclerosis	Designated	Not FDA Approved for Orphan Indication	Duke University Medical Center
Ibudilast		10/2/2018	Treatment of Glioblastoma	Designated	Not FDA Approved for Orphan Indication	"MediciNova, Inc."
S-[+]-apomorphine		10/2/2018	Treatment of amyotrophic lateral sclerosis (ALS).	Designated	Not FDA Approved for Orphan Indication	Aclipse One Inc
progerinin		10/2/2018	Treatment of Hutchinson-Gilford progeria syndrome	Designated	Not FDA Approved for Orphan Indication	"PRG S&T Co., Ltd."
fixed combination of dimethyl fumarate and aspirin (162mg)		9/27/2018	Treatment of multiple sclerosis in patients who experience dimethyl fumarate flushing	Designated	Not FDA Approved for Orphan Indication	"Vitalis, LLC"
sodium 2-hydroxylinoleate		9/27/2018	Treatment of biliary tract cancer	Designated	Not FDA Approved for Orphan Indication	"Ability Pharmaceuticals, SL"
Adeno-associated viral vector serotype 8 containing the human RPGR gene		9/27/2018	Treatment of inherited retinal dystrophies due to defects in the RPGR gene	Designated	Not FDA Approved for Orphan Indication	Biogen
relacorilant		9/27/2018	Treatment of Pancreatic Cancer	Designated	Not FDA Approved for Orphan Indication	"Corcept Therapeutics, Inc."
fixed dose combination of pyronaridine tetraphosphate and artesunate		9/27/2018	Treatment of malaria	Designated	Not FDA Approved for Orphan Indication	"Shin Poong Pharmaceutical Co., Ltd."
"(13E,14E,22R,6R)-35-fluoro-6-methyl-7-aza-1(5,3)-pyrazolo[1,5-a]pyrimidina-3(3,2)-pyridina-2(1,2)-pyrrolidinacyclooctaphan-8-one"		9/24/2018	Treatment of solid tumors with neurotrophic tyrosine receptor kinase (NTRK)-fusion proteins	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Bayer Healthcare Pharmaceuticals, Inc."
18-(p-[131I]-iodophenyl)octadecyl phosphocholine		9/24/2018	Treatment of osteosarcoma	Designated	Not FDA Approved for Orphan Indication	"Cellectar Biosciences, Inc."
ex-vivo expanded placental adherent stromal cells		9/24/2018	"Treatment of graft failure and incomplete hematopoietic recovery, following hematopoietic cell transplantation (HCT)"	Designated	Not FDA Approved for Orphan Indication	Pluri Biotech Ltd.
Autologous dendritic cells ex vivo incubated with zebularine and factor VIII		9/24/2018	Treatment to reduce factor VIII neutralizing antibodies (inhibitors)	Designated	Not FDA Approved for Orphan Indication	Idogen AB
cerdulatinib		9/21/2018	Treatment of peripheral T-cell lymphoma (PTCL).	Designated	Not FDA Approved for Orphan Indication	"Portola Pharmaceuticals, Inc."
imidazolyl ethanamide pentandioic acid		9/17/2018	Treatment of Acute Radiation Syndrome	Designated	Not FDA Approved for Orphan Indication	Myelo Therapeutics GmbH
"3-[5-[(1R)-1-[bis(aziridin-1-yl(phosphoryloxy]ethyl]-2-nitrophenoxy]-N,N-dimethylbenzamide"		9/17/2018	Treatment of Acute Lymphoblastic Leukemia	Designated	Not FDA Approved for Orphan Indication	"OBI Pharma USA, Inc."
Methanesulfonate-1-sec-butoxycarbonyloxymethyl-1-methyl-4-{4-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenylcarbamoyl]-benzyl}-piperazin-1-ium		9/13/2018	Treatment of chronic myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Inhibikase Therapeutics, Inc."
docetaxel encapsulated in an albumin-stabilized liposome		9/12/2018	Treatment of small cell lung cancer (SCLC)	Designated	Not FDA Approved for Orphan Indication	"Plus Therapeutics, Inc."
"4-Chloro-N-[5-methyl-2-(7H-pyrrolo[2,3-d]pyrimidin-4-ylcarbonyl)-3-pyridinyl]-3-(trifluoromethyl)benzenesulfonamide, sodium salt"		9/12/2018	Treatment of focal segmental glomerulosclerosis	Designated	Not FDA Approved for Orphan Indication	"ChemoCentryx, Inc."
immune globulin subcutaneous (Human)		9/12/2018	Treatment of Dermatomyositis	Designated	Not FDA Approved for Orphan Indication	CSL Behring
autologous engineered T-cell product that targets B-cell maturation antigen (BCMA)		9/10/2018	Treatment of multiple myeloma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Kite Pharma, Inc."
autologous Cytokine-Induced Killer Cells (Cytokine-induced Killer Cells plus Cytotoxic T Lymphocytes)		9/10/2018	Treatment of Pancreatic Cancer.	Designated	Not FDA Approved for Orphan Indication	Green Cross Cell Corporation
vorasidenib		9/10/2018	Treatment of glioma	Designated	Not FDA Approved for Orphan Indication	Servier Pharmaceuticals LLC
disitamab vedotin		9/10/2018	Treatment of Gastric Cancer	Designated	Not FDA Approved for Orphan Indication	Seagen Inc.
orilanolimab		9/10/2018	Treatment of pemphigus	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Alexion Pharmaceuticals, Inc."
adeno-associated virus vector expressing human 21-hydroxylase		8/30/2018	Treatment of congenital adrenal hyperplasia 21-hydroxylase deficiency	Designated	Not FDA Approved for Orphan Indication	Adrenas Therapeutics Inc
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor"	Trikafta	8/29/2018	Treatment of Cystic Fibrosis	Designated/Approved		Vertex Pharmaceuticals Inc.
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor"	Trikafta	8/29/2018	Treatment of Cystic Fibrosis	Designated/Approved		Vertex Pharmaceuticals Inc.
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor"	Trikafta	8/29/2018	Treatment of Cystic Fibrosis	Designated/Approved		Vertex Pharmaceuticals Inc.
"elexacaftor, tezacaftor, and ivacaftor; ivacaftor"	Trikafta	8/29/2018	Treatment of Cystic Fibrosis	Designated/Approved		Vertex Pharmaceuticals Inc.
Adeno-Associated Viral Vector encoding C1 Esterase Inhibitor		8/22/2018	Treatment of Angioedema due to C1-Inhibitor Deficiency	Designated	Not FDA Approved for Orphan Indication	"Adverum Biotechnologies, Inc."
